Clube,Nome,Apelido,Camisa
Red Bull Bragantino - SP,Fabricio Oliveira de Souza,Fabricio,0
Internacional - RS,Fabricio Tomas Bustos Sein,BUSTOS,0
Corinthians - SP,Fagner Conserva Lemos,Fagner,23
Corinthians - SP,Fausto Mariano Vera,Fausto,5
Atlético Mineiro - MG,Federico Matias Zaracho,Zaracho,15
São Paulo - SP,Felipe Alves Raymundo,Felipe,1
Corinthians - SP,Felipe Augusto da Silva,Felipe Augusto,0
America Saf - MG,Felipe Azevedo dos Santos,Felipe Azevedo,11
Athletico Paranaense - PR,Felipe Chiqueti Bandeira,Chiqueti,0
Flamengo - RJ,Felipe de Almeida Lima,Felipe,0
Fluminense - RJ,Felipe de Andrade Vieira,Felipe Andrade,0
Red Bull Bragantino - SP,Felipe de Souza Motta Marins,Felipe Motta,0
Flamengo - RJ,Felipe Gabriel Cunha Teresa,FELIPE GABRIEL,0
Grêmio - RS,Felipe Ignacio Carballo Ares,Carballo,0
Santos - SP,Felipe Jonatan Rocha Andrade,Felipe,3
Corinthians - SP,Felipe Longo Fernandes da Silva,FELIPE,0
Grêmio - RS,Felipe Mateus Scheibig,Felipe,41
Fluminense - RJ,Felipe Melo de Carvalho,Felipe Melo,30
São Paulo - SP,Felipe Negrucci Berdague,Felipe,1
Avaí - SC,Fellipe Ramos Ignez Bastos,Fellipe Bastos,0
Athletico Paranaense - PR,Fernando Augusto Pereira Bueno Junior,Fernando,6
Cruzeiro Saf - MG,Fernando Henrique do Nascimento Pereira,Fernando,0
Athletico Paranaense - PR,Fernando Luiz Roza,Fernandinho,5
Botafogo - RJ,Fernando Marcal de Oliveira,Marcal,0
Fortaleza - CE,Fernando Miguel Kaufmann,Fernando Miguel,16
Athletico Paranaense - PR,Fernando Nava Ortega,Fernando Nava,0
Cuiabá Saf - MT,Fernando Pereira do Nascimento,Fernando,88
Cuiabá Saf - MT,Filipe Augusto Carvalho Souza,Filipe Augusto,5
Flamengo - RJ,Filipe Luis Kasmirski,Filipe Luís,0
Botafogo - RJ,Francisco das Chagas Soares dos Santos,Tiquinho,9
Flamengo - RJ,Francisco Dyogo Bento Alves,Dyogo,0
Fluminense - RJ,Francisco Jose Freire de Freitas,Freitas,0
Bahia - BA,Francisco Vitor Silva Costa,Jacare,0
