NPartida,Time,Camisa,Apelido,href
5,Red Bull Bragantino - SP,44,Nacho Laquintana,https://www.cbf.com.br/futebol-brasileiro/atletas/802130?exercicio=2023
5,Red Bull Bragantino - SP,11,Helinho,https://www.cbf.com.br/futebol-brasileiro/atletas/464258?exercicio=2023
5,Red Bull Bragantino - SP,5,Jadsom Silva,https://www.cbf.com.br/futebol-brasileiro/atletas/554820?exercicio=2023
5,Red Bull Bragantino - SP,8,Evangelista,https://www.cbf.com.br/futebol-brasileiro/atletas/345109?exercicio=2023
5,Red Bull Bragantino - SP,1,Cleiton,https://www.cbf.com.br/futebol-brasileiro/atletas/384823?exercicio=2023
5,Red Bull Bragantino - SP,22,Gustavinho,https://www.cbf.com.br/futebol-brasileiro/atletas/642208?exercicio=2023
5,Red Bull Bragantino - SP,31,Guilherme,https://www.cbf.com.br/futebol-brasileiro/atletas/542286?exercicio=2023
5,Red Bull Bragantino - SP,27,Sorriso,https://www.cbf.com.br/futebol-brasileiro/atletas/611634?exercicio=2023
5,Red Bull Bragantino - SP,7,Eric Ramires,https://www.cbf.com.br/futebol-brasileiro/atletas/521939?exercicio=2023
5,Red Bull Bragantino - SP,18,Thiago Borbas,https://www.cbf.com.br/futebol-brasileiro/atletas/793192?exercicio=2023
5,Red Bull Bragantino - SP,43,Everton,https://www.cbf.com.br/futebol-brasileiro/atletas/565265?exercicio=2023
6,Atlético Mineiro - MG,22,Everson,https://www.cbf.com.br/futebol-brasileiro/atletas/188398?exercicio=2023
6,Atlético Mineiro - MG,9,Pavon,https://www.cbf.com.br/futebol-brasileiro/atletas/772443?exercicio=2023
6,Atlético Mineiro - MG,41,Isaac,https://www.cbf.com.br/futebol-brasileiro/atletas/617446?exercicio=2023
6,Atlético Mineiro - MG,10,Paulinho,https://www.cbf.com.br/futebol-brasileiro/atletas/385658?exercicio=2023
6,Atlético Mineiro - MG,5,Otavio,https://www.cbf.com.br/futebol-brasileiro/atletas/320930?exercicio=2023
6,Atlético Mineiro - MG,8,Edenilson,https://www.cbf.com.br/futebol-brasileiro/atletas/306270?exercicio=2023
6,Atlético Mineiro - MG,7,Hulk,https://www.cbf.com.br/futebol-brasileiro/atletas/163056?exercicio=2023
6,Atlético Mineiro - MG,15,Zaracho,https://www.cbf.com.br/futebol-brasileiro/atletas/703937?exercicio=2023
6,Atlético Mineiro - MG,20,Hyoran,https://www.cbf.com.br/futebol-brasileiro/atletas/304434?exercicio=2023
6,Atlético Mineiro - MG,38,Pedrinho,https://www.cbf.com.br/futebol-brasileiro/atletas/429638?exercicio=2023
6,Atlético Mineiro - MG,34,Jemerson,https://www.cbf.com.br/futebol-brasileiro/atletas/335312?exercicio=2023
6,Atlético Mineiro - MG,26,Renzo Saravia,https://www.cbf.com.br/futebol-brasileiro/atletas/695696?exercicio=2023
6,Atlético Mineiro - MG,25,Mariano,https://www.cbf.com.br/futebol-brasileiro/atletas/170144?exercicio=2023
6,Atlético Mineiro - MG,28,Muricio Lemos,https://www.cbf.com.br/futebol-brasileiro/atletas/794757?exercicio=2023
6,Atlético Mineiro - MG,44,Rubens,https://www.cbf.com.br/futebol-brasileiro/atletas/547882?exercicio=2023
6,Atlético Mineiro - MG,49,Patrick,https://www.cbf.com.br/futebol-brasileiro/atletas/315585?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,1,Leo Jardim,https://www.cbf.com.br/futebol-brasileiro/atletas/323637?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,26,Rodrigo,https://www.cbf.com.br/futebol-brasileiro/atletas/551536?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,9,Pedro Raul,https://www.cbf.com.br/futebol-brasileiro/atletas/502361?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,3,Léo,https://www.cbf.com.br/futebol-brasileiro/atletas/346294?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,18,Andrey Santos,https://www.cbf.com.br/futebol-brasileiro/atletas/611858?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,88,Barros,https://www.cbf.com.br/futebol-brasileiro/atletas/622485?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,36,Lucas Piton,https://www.cbf.com.br/futebol-brasileiro/atletas/439689?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,66,Paulo Victor,https://www.cbf.com.br/futebol-brasileiro/atletas/591665?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,11,Gabriel Pec,https://www.cbf.com.br/futebol-brasileiro/atletas/523349?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,15,Figueiredo,https://www.cbf.com.br/futebol-brasileiro/atletas/559670?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,8,Jair,https://www.cbf.com.br/futebol-brasileiro/atletas/347809?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,19,Matias Galarza,https://www.cbf.com.br/futebol-brasileiro/atletas/703174?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,7,Alex Teixeira,https://www.cbf.com.br/futebol-brasileiro/atletas/177753?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,25,Marlon Gomes,https://www.cbf.com.br/futebol-brasileiro/atletas/611036?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,2,Puma Rodriguez,https://www.cbf.com.br/futebol-brasileiro/atletas/793749?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,30,Robson,https://www.cbf.com.br/futebol-brasileiro/atletas/352528?exercicio=2023
6,Atlético Mineiro - MG,31,Matheus Mendes,https://www.cbf.com.br/futebol-brasileiro/atletas/462152?exercicio=2023
6,Atlético Mineiro - MG,3,Bruno Fuchs,https://www.cbf.com.br/futebol-brasileiro/atletas/401025?exercicio=2023
6,Atlético Mineiro - MG,17,Igor Gomes,https://www.cbf.com.br/futebol-brasileiro/atletas/337713?exercicio=2023
6,Atlético Mineiro - MG,6,Dodo,https://www.cbf.com.br/futebol-brasileiro/atletas/187787?exercicio=2023
6,Atlético Mineiro - MG,4,Rever,https://www.cbf.com.br/futebol-brasileiro/atletas/167509?exercicio=2023
6,Atlético Mineiro - MG,21,Rodrigo Battaglia,https://www.cbf.com.br/futebol-brasileiro/atletas/801082?exercicio=2023
6,Atlético Mineiro - MG,40,Nathan Silva,https://www.cbf.com.br/futebol-brasileiro/atletas/370997?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,97,Ivan,https://www.cbf.com.br/futebol-brasileiro/atletas/405009?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,14,Orellano,https://www.cbf.com.br/futebol-brasileiro/atletas/793746?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,29,Paulinho,https://www.cbf.com.br/futebol-brasileiro/atletas/630390?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,21,Eguinaldo,https://www.cbf.com.br/futebol-brasileiro/atletas/716623?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,35,Miranda,https://www.cbf.com.br/futebol-brasileiro/atletas/462355?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,12,Rwan,https://www.cbf.com.br/futebol-brasileiro/atletas/564118?exercicio=2023
6,Vasco da Gama S.a.f. - RJ,22,Capasso,https://www.cbf.com.br/futebol-brasileiro/atletas/795201?exercicio=2023
7,Grêmio - RS,31,Adriel,https://www.cbf.com.br/futebol-brasileiro/atletas/558228?exercicio=2023
7,Grêmio - RS,6,Diogo Barbosa,https://www.cbf.com.br/futebol-brasileiro/atletas/339876?exercicio=2023
7,Grêmio - RS,39,Bitello,https://www.cbf.com.br/futebol-brasileiro/atletas/540533?exercicio=2023
